id,index,Event Date,Pref_days,pref_times,pref_topic
7574503701,35,2024-09-26, Fridays,4pm - 6pm, Tech
7574503701,35,2024-09-26, Fridays,4pm - 6pm, UX/Psychology based startups
7574503701,35,2024-09-26, Fridays, 6pm - 8pm,IT
7574503701,35,2024-09-26, Fridays, 6pm - 8pm, AI
7574503701,35,2024-09-26, Fridays, 6pm - 8pm, Tech
7574503701,35,2024-09-26, Fridays, 6pm - 8pm, UX/Psychology based startups
7574504987,36,2024-09-26,Fridays,4pm - 6pm,Connection
7574504987,36,2024-09-26,Fridays,4pm - 6pm, technical skills
7574504987,36,2024-09-26,Fridays,4pm - 6pm, marketing
7574504987,36,2024-09-26,Fridays, 6pm - 8pm,Connection
7574504987,36,2024-09-26,Fridays, 6pm - 8pm, technical skills
7574504987,36,2024-09-26,Fridays, 6pm - 8pm, marketing
7574504987,36,2024-09-26, Saturdays,4pm - 6pm,Connection
7574504987,36,2024-09-26, Saturdays,4pm - 6pm, technical skills
7574504987,36,2024-09-26, Saturdays,4pm - 6pm, marketing
7574504987,36,2024-09-26, Saturdays, 6pm - 8pm,Connection
7574504987,36,2024-09-26, Saturdays, 6pm - 8pm, technical skills
7574504987,36,2024-09-26, Saturdays, 6pm - 8pm, marketing
7574504987,36,2024-09-26, Sundays,4pm - 6pm,Connection
7574504987,36,2024-09-26, Sundays,4pm - 6pm, technical skills
7574504987,36,2024-09-26, Sundays,4pm - 6pm, marketing
7574504987,36,2024-09-26, Sundays, 6pm - 8pm,Connection
7574504987,36,2024-09-26, Sundays, 6pm - 8pm, technical skills
7574504987,36,2024-09-26, Sundays, 6pm - 8pm, marketing
7574507077,37,2024-09-26,Fridays,4pm - 6pm,Networking
7574507077,37,2024-09-26,Fridays,4pm - 6pm, Brainstorming
7574507077,37,2024-09-26,Fridays, 6pm - 8pm,Networking
7574507077,37,2024-09-26,Fridays, 6pm - 8pm, Brainstorming
7574507077,37,2024-09-26, Saturdays,4pm - 6pm,Networking
7574507077,37,2024-09-26, Saturdays,4pm - 6pm, Brainstorming
7574507077,37,2024-09-26, Saturdays, 6pm - 8pm,Networking
7574507077,37,2024-09-26, Saturdays, 6pm - 8pm, Brainstorming
7574507077,37,2024-09-26, Sundays,4pm - 6pm,Networking
7574507077,37,2024-09-26, Sundays,4pm - 6pm, Brainstorming
7574507077,37,2024-09-26, Sundays, 6pm - 8pm,Networking
7574507077,37,2024-09-26, Sundays, 6pm - 8pm, Brainstorming
7574508202,38,2024-09-26,Thursdays,4pm - 6pm,nil
7574509734,39,2024-09-26,Fridays,6pm - 8pm,nil
7574511451,40,2024-09-26,Mondays,4pm - 6pm,AI
7574511451,40,2024-09-26,Mondays,4pm - 6pm, Tech startup
7574511451,40,2024-09-26, Wednesdays,4pm - 6pm,AI
7574511451,40,2024-09-26, Wednesdays,4pm - 6pm, Tech startup
7574511451,40,2024-09-26, Fridays,4pm - 6pm,AI
7574511451,40,2024-09-26, Fridays,4pm - 6pm, Tech startup
7574513425,41,2024-09-26,Thursdays,4pm - 6pm,How to crack ICT jobs
7574515278,42,2024-09-26,Mondays,12pm - 2pm,Starting business
7574515278,42,2024-09-26,Mondays,12pm - 2pm, networking
7574515278,42,2024-09-26,Mondays, 4pm - 6pm,Starting business
